,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1390,7,False,Broadway St at Battery St,0.33197278911564626,37.798541,-122.40086200000002
1391,10,True,Broadway St at Battery St,0.40893470790378006,37.798541,-122.40086200000002
1392,16,False,Broadway St at Battery St,0.5222222222222224,37.798541,-122.40086200000002
1393,1,False,Broadway St at Battery St,0.35218579234972686,37.798541,-122.40086200000002
1394,16,True,Broadway St at Battery St,0.4164948453608249,37.798541,-122.40086200000002
1395,19,True,Broadway St at Battery St,0.41718213058419246,37.798541,-122.40086200000002
1396,12,False,Clay at Battery,0.5523447401774398,37.795001,-122.39997
1397,0,False,Clay at Battery,0.3241730279898219,37.795001,-122.39997
1398,20,False,Clay at Battery,0.3012722646310433,37.795001,-122.39997
1399,3,True,Clay at Battery,0.4544871794871796,37.795001,-122.39997
1400,21,True,Clay at Battery,0.46794871794871773,37.795001,-122.39997
1401,2,False,Clay at Battery,0.3254452926208651,37.795001,-122.39997
1402,23,False,Clay at Battery,0.3165394402035623,37.795001,-122.39997
1403,22,False,Clay at Battery,0.32264631043256986,37.795001,-122.39997
1404,19,False,Clay at Battery,0.29592875318066164,37.795001,-122.39997
1405,6,False,Clay at Battery,0.3310432569974554,37.795001,-122.39997
1406,17,True,Clay at Battery,0.46346153846153865,37.795001,-122.39997
1407,18,True,Clay at Battery,0.4544871794871794,37.795001,-122.39997
1408,1,True,Clay at Battery,0.4493589743589744,37.795001,-122.39997
1409,12,True,Clay at Battery,0.4461538461538461,37.795001,-122.39997
1410,21,False,Clay at Battery,0.31806615776081415,37.795001,-122.39997
1411,0,True,Clay at Battery,0.4525641025641026,37.795001,-122.39997
1412,9,False,Clay at Battery,0.5457541191381495,37.795001,-122.39997
1413,23,True,Clay at Battery,0.48205128205128206,37.795001,-122.39997
1414,2,True,Clay at Battery,0.4524271844660196,37.795001,-122.39997
1415,11,False,Clay at Battery,0.5832061068702288,37.795001,-122.39997
1416,3,False,Clay at Battery,0.32646310432569975,37.795001,-122.39997
1417,4,True,Clay at Battery,0.45320512820512804,37.795001,-122.39997
1418,11,True,Clay at Battery,0.4391025641025642,37.795001,-122.39997
1419,8,False,Clay at Battery,0.367553865652725,37.795001,-122.39997
1420,14,True,Clay at Battery,0.44336569579288015,37.795001,-122.39997
1421,13,False,Clay at Battery,0.5391634980988592,37.795001,-122.39997
1422,8,True,Clay at Battery,0.44679487179487176,37.795001,-122.39997
1423,4,False,Clay at Battery,0.32798982188295167,37.795001,-122.39997
1424,7,True,Clay at Battery,0.4461538461538461,37.795001,-122.39997
1425,15,True,Clay at Battery,0.44660194174757284,37.795001,-122.39997
1426,6,True,Clay at Battery,0.4499999999999999,37.795001,-122.39997
1427,17,False,Clay at Battery,0.4236641221374045,37.795001,-122.39997
1428,15,False,Clay at Battery,0.5229404309252219,37.795001,-122.39997
1429,10,False,Clay at Battery,0.6017743979721164,37.795001,-122.39997
1430,18,False,Clay at Battery,0.3279898218829517,37.795001,-122.39997
1431,5,False,Clay at Battery,0.3290076335877862,37.795001,-122.39997
1432,20,True,Clay at Battery,0.46923076923076923,37.795001,-122.39997
1433,14,False,Clay at Battery,0.5325728770595687,37.795001,-122.39997
1434,22,True,Clay at Battery,0.4743589743589744,37.795001,-122.39997
1435,5,True,Clay at Battery,0.4532051282051282,37.795001,-122.39997
1436,9,True,Clay at Battery,0.44487179487179485,37.795001,-122.39997
1437,13,True,Clay at Battery,0.4407766990291262,37.795001,-122.39997
1438,7,False,Clay at Battery,0.29083969465648846,37.795001,-122.39997
1439,10,True,Clay at Battery,0.4358974358974358,37.795001,-122.39997
